Country or Area,Year,Sex,Age,Marital Status,Record Type,Reliability,Value
Mozambique,2017,Male,14-Dec,Total,Census - de jure - complete tabulation,"Final figure, complete",990478
Mozambique,2017,Male,14-Dec,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",977192
Mozambique,2017,Male,14-Dec,Married,Census - de jure - complete tabulation,"Final figure, complete",2299
Mozambique,2017,Male,14-Dec,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",8481
Mozambique,2017,Male,14-Dec,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",1633
Mozambique,2017,Male,14-Dec,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",873
Mozambique,2017,Male,12 +,Total,Census - de jure - complete tabulation,"Final figure, complete",7665356
Mozambique,2017,Male,12 +,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",3196633
Mozambique,2017,Male,12 +,Married,Census - de jure - complete tabulation,"Final figure, complete",1080161
Mozambique,2017,Male,12 +,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",3204397
Mozambique,2017,Male,12 +,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",76138
Mozambique,2017,Male,12 +,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",108027
Mozambique,2017,Male,15 - 19,Total,Census - de jure - complete tabulation,"Final figure, complete",1361465
Mozambique,2017,Male,15 - 19,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",1233181
Mozambique,2017,Male,15 - 19,Married,Census - de jure - complete tabulation,"Final figure, complete",21631
Mozambique,2017,Male,15 - 19,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",99545
Mozambique,2017,Male,15 - 19,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2059
Mozambique,2017,Male,15 - 19,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",5049
Mozambique,2017,Male,20 - 24,Total,Census - de jure - complete tabulation,"Final figure, complete",1079891
Mozambique,2017,Male,20 - 24,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",521908
Mozambique,2017,Male,20 - 24,Married,Census - de jure - complete tabulation,"Final figure, complete",99442
Mozambique,2017,Male,20 - 24,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",443980
Mozambique,2017,Male,20 - 24,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",1680
Mozambique,2017,Male,20 - 24,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",12881
Mozambique,2017,Male,25 - 29,Total,Census - de jure - complete tabulation,"Final figure, complete",871135
Mozambique,2017,Male,25 - 29,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",201713
Mozambique,2017,Male,25 - 29,Married,Census - de jure - complete tabulation,"Final figure, complete",125954
Mozambique,2017,Male,25 - 29,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",527340
Mozambique,2017,Male,25 - 29,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",1937
Mozambique,2017,Male,25 - 29,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",14191
Mozambique,2017,Male,30 - 34,Total,Census - de jure - complete tabulation,"Final figure, complete",716287
Mozambique,2017,Male,30 - 34,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",91867
Mozambique,2017,Male,30 - 34,Married,Census - de jure - complete tabulation,"Final figure, complete",128898
Mozambique,2017,Male,30 - 34,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",478445
Mozambique,2017,Male,30 - 34,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",3003
Mozambique,2017,Male,30 - 34,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",14074
Mozambique,2017,Male,35 - 39,Total,Census - de jure - complete tabulation,"Final figure, complete",626222
Mozambique,2017,Male,35 - 39,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",54476
Mozambique,2017,Male,35 - 39,Married,Census - de jure - complete tabulation,"Final figure, complete",133492
Mozambique,2017,Male,35 - 39,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",421411
Mozambique,2017,Male,35 - 39,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",3957
Mozambique,2017,Male,35 - 39,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",12886
Mozambique,2017,Male,40 - 44,Total,Census - de jure - complete tabulation,"Final figure, complete",509208
Mozambique,2017,Male,40 - 44,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",33538
Mozambique,2017,Male,40 - 44,Married,Census - de jure - complete tabulation,"Final figure, complete",126554
Mozambique,2017,Male,40 - 44,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",333538
Mozambique,2017,Male,40 - 44,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",4870
Mozambique,2017,Male,40 - 44,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",10708
Mozambique,2017,Male,45 - 49,Total,Census - de jure - complete tabulation,"Final figure, complete",393237
Mozambique,2017,Male,45 - 49,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",21562
Mozambique,2017,Male,45 - 49,Married,Census - de jure - complete tabulation,"Final figure, complete",107564
Mozambique,2017,Male,45 - 49,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",251139
Mozambique,2017,Male,45 - 49,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",4883
Mozambique,2017,Male,45 - 49,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",8089
Mozambique,2017,Male,50 - 54,Total,Census - de jure - complete tabulation,"Final figure, complete",301605
Mozambique,2017,Male,50 - 54,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",15649
Mozambique,2017,Male,50 - 54,Married,Census - de jure - complete tabulation,"Final figure, complete",87539
Mozambique,2017,Male,50 - 54,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",185002
Mozambique,2017,Male,50 - 54,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",6314
Mozambique,2017,Male,50 - 54,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",7101
Mozambique,2017,Male,55 - 59,Total,Census - de jure - complete tabulation,"Final figure, complete",235157
Mozambique,2017,Male,55 - 59,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",11579
Mozambique,2017,Male,55 - 59,Married,Census - de jure - complete tabulation,"Final figure, complete",70219
Mozambique,2017,Male,55 - 59,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",140694
Mozambique,2017,Male,55 - 59,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",6717
Mozambique,2017,Male,55 - 59,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",5948
Mozambique,2017,Male,60 - 64,Total,Census - de jure - complete tabulation,"Final figure, complete",186306
Mozambique,2017,Male,60 - 64,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",9101
Mozambique,2017,Male,60 - 64,Married,Census - de jure - complete tabulation,"Final figure, complete",57773
Mozambique,2017,Male,60 - 64,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",106723
Mozambique,2017,Male,60 - 64,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",7859
Mozambique,2017,Male,60 - 64,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",4850
Mozambique,2017,Male,65 - 69,Total,Census - de jure - complete tabulation,"Final figure, complete",142467
Mozambique,2017,Male,65 - 69,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",6608
Mozambique,2017,Male,65 - 69,Married,Census - de jure - complete tabulation,"Final figure, complete",44723
Mozambique,2017,Male,65 - 69,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",79737
Mozambique,2017,Male,65 - 69,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",7493
Mozambique,2017,Male,65 - 69,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",3906
